cell_id,backend,depth,proof_id,proof_j,leaf_index,verify_credential_gas,verify_credential_exec,verify_credential_intrinsic,verify_credential_calldata_bytes,verify_credential_calldata_zero_bytes,verify_proof_direct_gas,verify_proof_direct_exec,verify_proof_direct_intrinsic,verify_proof_direct_calldata_bytes,verify_proof_direct_calldata_zero_bytes,manager_overhead_gas,manager_overhead_exec
primary-groth16-d5,groth16,5,G16-d5-p0,0,2,223958,198298,25660,292,1,214597,188937,25660,292,1,9361,9361
primary-groth16-d5,groth16,5,G16-d5-p1,1,6,223946,198298,25648,292,2,214585,188937,25648,292,2,9361,9361
primary-groth16-d5,groth16,5,G16-d5-p2,2,10,223958,198298,25660,292,1,214597,188937,25660,292,1,9361,9361
primary-groth16-d5,groth16,5,G16-d5-p3,3,14,223958,198298,25660,292,1,214597,188937,25660,292,1,9361,9361
primary-groth16-d5,groth16,5,G16-d5-p4,4,18,223946,198298,25648,292,2,214585,188937,25648,292,2,9361,9361
primary-groth16-d5,groth16,5,G16-d5-p5,5,22,223958,198298,25660,292,1,214597,188937,25660,292,1,9361,9361
primary-groth16-d5,groth16,5,G16-d5-p6,6,26,223946,198298,25648,292,2,214585,188937,25648,292,2,9361,9361
primary-groth16-d5,groth16,5,G16-d5-p7,7,30,223934,198298,25636,292,3,214573,188937,25636,292,3,9361,9361
primary-groth16-d10,groth16,10,G16-d10-p0,0,64,223934,198298,25636,292,3,214573,188937,25636,292,3,9361,9361
primary-groth16-d10,groth16,10,G16-d10-p1,1,192,223958,198298,25660,292,1,214597,188937,25660,292,1,9361,9361
primary-groth16-d10,groth16,10,G16-d10-p2,2,320,223958,198298,25660,292,1,214597,188937,25660,292,1,9361,9361
primary-groth16-d10,groth16,10,G16-d10-p3,3,448,223958,198298,25660,292,1,214597,188937,25660,292,1,9361,9361
primary-groth16-d10,groth16,10,G16-d10-p4,4,576,223970,198298,25672,292,0,214609,188937,25672,292,0,9361,9361
primary-groth16-d10,groth16,10,G16-d10-p5,5,704,223946,198298,25648,292,2,214585,188937,25648,292,2,9361,9361
primary-groth16-d10,groth16,10,G16-d10-p6,6,832,223958,198298,25660,292,1,214597,188937,25660,292,1,9361,9361
primary-groth16-d10,groth16,10,G16-d10-p7,7,960,223970,198298,25672,292,0,214609,188937,25672,292,0,9361,9361
primary-groth16-d11,groth16,11,G16-d11-p0,0,128,223946,198298,25648,292,2,214585,188937,25648,292,2,9361,9361
primary-groth16-d11,groth16,11,G16-d11-p1,1,384,223958,198298,25660,292,1,214597,188937,25660,292,1,9361,9361
primary-groth16-d11,groth16,11,G16-d11-p2,2,640,223958,198298,25660,292,1,214597,188937,25660,292,1,9361,9361
primary-groth16-d11,groth16,11,G16-d11-p3,3,896,223946,198298,25648,292,2,214585,188937,25648,292,2,9361,9361
primary-groth16-d11,groth16,11,G16-d11-p4,4,1152,223934,198298,25636,292,3,214573,188937,25636,292,3,9361,9361
primary-groth16-d11,groth16,11,G16-d11-p5,5,1408,223934,198298,25636,292,3,214573,188937,25636,292,3,9361,9361
primary-groth16-d11,groth16,11,G16-d11-p6,6,1664,223934,198298,25636,292,3,214573,188937,25636,292,3,9361,9361
primary-groth16-d11,groth16,11,G16-d11-p7,7,1920,223958,198298,25660,292,1,214597,188937,25660,292,1,9361,9361
primary-groth16-d15,groth16,15,G16-d15-p0,0,2048,223970,198298,25672,292,0,214609,188937,25672,292,0,9361,9361
primary-groth16-d15,groth16,15,G16-d15-p1,1,6144,223958,198298,25660,292,1,214597,188937,25660,292,1,9361,9361
primary-groth16-d15,groth16,15,G16-d15-p2,2,10240,223946,198298,25648,292,2,214585,188937,25648,292,2,9361,9361
primary-groth16-d15,groth16,15,G16-d15-p3,3,14336,223958,198298,25660,292,1,214597,188937,25660,292,1,9361,9361
primary-groth16-d15,groth16,15,G16-d15-p4,4,18432,223970,198298,25672,292,0,214609,188937,25672,292,0,9361,9361
primary-groth16-d15,groth16,15,G16-d15-p5,5,22528,223946,198298,25648,292,2,214585,188937,25648,292,2,9361,9361
